class,accuracy
BACKGROUND_Google,0.8714285714285714
Faces,1.0
Faces_easy,0.6060606060606061
Leopards,1.0
Motorbikes,1.0
accordion,1.0
airplanes,1.0
anchor,0.6666666666666666
ant,0.8333333333333334
barrel,0.8571428571428571
bass,0.875
beaver,0.8571428571428571
binocular,0.8
bonsai,1.0
brain,0.9333333333333333
brontosaurus,0.8571428571428571
buddha,0.9230769230769231
butterfly,1.0
camera,1.0
cannon,0.7142857142857143
car_side,1.0
ceiling_fan,1.0
cellphone,0.8888888888888888
chair,0.8888888888888888
chandelier,1.0
cougar_body,1.0
cougar_face,0.8181818181818182
crab,0.7272727272727273
crayfish,0.7272727272727273
crocodile,0.8571428571428571
crocodile_head,0.8571428571428571
cup,0.875
dalmatian,1.0
dollar_bill,0.875
dolphin,1.0
dragonfly,0.9
electric_guitar,0.8181818181818182
elephant,1.0
emu,1.0
euphonium,1.0
ewer,1.0
ferry,1.0
flamingo,1.0
flamingo_head,0.7142857142857143
garfield,1.0
gerenuk,1.0
gramophone,1.0
grand_piano,1.0
hawksbill,1.0
headphone,1.0
hedgehog,1.0
helicopter,0.9230769230769231
ibis,1.0
inline_skate,0.8
joshua_tree,1.0
kangaroo,1.0
ketch,0.7058823529411765
lamp,0.8888888888888888
laptop,1.0
llama,1.0
lobster,0.16666666666666666
lotus,0.5
mandolin,0.8333333333333334
mayfly,0.8333333333333334
menorah,1.0
metronome,1.0
minaret,1.0
nautilus,1.0
octopus,0.6
okapi,1.0
pagoda,0.8571428571428571
panda,1.0
pigeon,1.0
pizza,1.0
platypus,1.0
pyramid,1.0
revolver,1.0
rhino,1.0
rooster,1.0
saxophone,1.0
schooner,0.8888888888888888
scissors,0.8333333333333334
scorpion,1.0
sea_horse,0.7777777777777778
snoopy,0.8
soccer_ball,1.0
stapler,0.7142857142857143
starfish,1.0
stegosaurus,1.0
stop_sign,1.0
strawberry,1.0
sunflower,1.0
tick,1.0
trilobite,1.0
umbrella,0.8181818181818182
watch,1.0
water_lilly,0.6666666666666666
wheelchair,0.8888888888888888
wild_cat,1.0
windsor_chair,1.0
wrench,0.6666666666666666
yin_yang,0.8888888888888888
