class,accuracy
BACKGROUND_Google,0.8714285714285714
Faces,1.0
Faces_easy,0.6363636363636364
Leopards,1.0
Motorbikes,1.0
accordion,1.0
airplanes,0.9916666666666667
anchor,0.6666666666666666
ant,0.8333333333333334
barrel,0.8571428571428571
bass,1.0
beaver,0.8571428571428571
binocular,1.0
bonsai,1.0
brain,1.0
brontosaurus,0.8571428571428571
buddha,0.9230769230769231
butterfly,0.8461538461538461
camera,1.0
cannon,0.7142857142857143
car_side,1.0
ceiling_fan,1.0
cellphone,1.0
chair,0.5555555555555556
chandelier,1.0
cougar_body,0.8571428571428571
cougar_face,0.9090909090909091
crab,1.0
crayfish,0.8181818181818182
crocodile,0.42857142857142855
crocodile_head,0.5714285714285714
cup,1.0
dalmatian,1.0
dollar_bill,1.0
dolphin,1.0
dragonfly,1.0
electric_guitar,0.9090909090909091
elephant,1.0
emu,1.0
euphonium,1.0
ewer,1.0
ferry,1.0
flamingo,1.0
flamingo_head,0.7142857142857143
garfield,1.0
gerenuk,1.0
gramophone,1.0
grand_piano,1.0
hawksbill,1.0
headphone,1.0
hedgehog,1.0
helicopter,1.0
ibis,1.0
inline_skate,0.8
joshua_tree,1.0
kangaroo,1.0
ketch,0.7647058823529411
lamp,1.0
laptop,1.0
llama,1.0
lobster,0.6666666666666666
lotus,0.6
mandolin,1.0
mayfly,1.0
menorah,1.0
metronome,1.0
minaret,1.0
nautilus,1.0
octopus,0.8
okapi,1.0
pagoda,1.0
panda,1.0
pigeon,1.0
pizza,1.0
platypus,1.0
pyramid,1.0
revolver,1.0
rhino,1.0
rooster,1.0
saxophone,1.0
schooner,0.8888888888888888
scissors,0.8333333333333334
scorpion,1.0
sea_horse,0.8888888888888888
snoopy,0.8
soccer_ball,1.0
stapler,0.7142857142857143
starfish,1.0
stegosaurus,1.0
stop_sign,1.0
strawberry,1.0
sunflower,1.0
tick,1.0
trilobite,1.0
umbrella,0.7272727272727273
watch,1.0
water_lilly,0.5
wheelchair,1.0
wild_cat,1.0
windsor_chair,1.0
wrench,0.8333333333333334
yin_yang,0.8888888888888888
