class,accuracy
BACKGROUND_Google,0.8
Faces,1.0
Faces_easy,0.803030303030303
Leopards,1.0
Motorbikes,0.9916666666666667
accordion,1.0
airplanes,0.9666666666666667
anchor,0.5
ant,0.6666666666666666
barrel,0.7142857142857143
bass,0.625
beaver,0.42857142857142855
binocular,0.6
bonsai,1.0
brain,1.0
brontosaurus,0.42857142857142855
buddha,0.7692307692307693
butterfly,0.6923076923076923
camera,1.0
cannon,0.42857142857142855
car_side,1.0
ceiling_fan,0.8571428571428571
cellphone,1.0
chair,0.4444444444444444
chandelier,0.9375
cougar_body,0.5714285714285714
cougar_face,0.9090909090909091
crab,0.45454545454545453
crayfish,0.8181818181818182
crocodile,0.5714285714285714
crocodile_head,0.42857142857142855
cup,0.75
dalmatian,1.0
dollar_bill,1.0
dolphin,1.0
dragonfly,1.0
electric_guitar,0.45454545454545453
elephant,0.7777777777777778
emu,1.0
euphonium,0.6666666666666666
ewer,1.0
ferry,1.0
flamingo,0.8
flamingo_head,0.42857142857142855
garfield,1.0
gerenuk,1.0
gramophone,1.0
grand_piano,0.9333333333333333
hawksbill,0.8666666666666667
headphone,1.0
hedgehog,1.0
helicopter,0.6923076923076923
ibis,1.0
inline_skate,0.8
joshua_tree,0.9
kangaroo,0.7692307692307693
ketch,0.6470588235294118
lamp,0.7777777777777778
laptop,1.0
llama,1.0
lobster,0.6666666666666666
lotus,0.5
mandolin,0.8333333333333334
mayfly,1.0
menorah,0.9230769230769231
metronome,0.8
minaret,0.9090909090909091
nautilus,0.75
octopus,0.6
okapi,1.0
pagoda,0.8571428571428571
panda,0.8333333333333334
pigeon,1.0
pizza,1.0
platypus,0.8
pyramid,0.8888888888888888
revolver,0.9230769230769231
rhino,0.8888888888888888
rooster,0.875
saxophone,0.6666666666666666
schooner,1.0
scissors,0.6666666666666666
scorpion,0.6153846153846154
sea_horse,0.7777777777777778
snoopy,0.6
soccer_ball,0.8888888888888888
stapler,0.7142857142857143
starfish,0.9230769230769231
stegosaurus,1.0
stop_sign,0.8888888888888888
strawberry,1.0
sunflower,1.0
tick,1.0
trilobite,0.7692307692307693
umbrella,0.8181818181818182
watch,0.9722222222222222
water_lilly,0.3333333333333333
wheelchair,0.7777777777777778
wild_cat,1.0
windsor_chair,1.0
wrench,0.6666666666666666
yin_yang,1.0
