class,accuracy
BACKGROUND_Google,0.8714285714285714
Faces,1.0
Faces_easy,0.5757575757575758
Leopards,1.0
Motorbikes,1.0
accordion,1.0
airplanes,0.9833333333333333
anchor,0.5
ant,0.8333333333333334
barrel,0.8571428571428571
bass,0.875
beaver,0.8571428571428571
binocular,0.8
bonsai,1.0
brain,1.0
brontosaurus,0.8571428571428571
buddha,0.8461538461538461
butterfly,0.6923076923076923
camera,1.0
cannon,0.2857142857142857
car_side,1.0
ceiling_fan,0.8571428571428571
cellphone,1.0
chair,0.7777777777777778
chandelier,0.875
cougar_body,0.8571428571428571
cougar_face,0.6363636363636364
crab,0.6363636363636364
crayfish,0.8181818181818182
crocodile,0.42857142857142855
crocodile_head,0.8571428571428571
cup,0.875
dalmatian,1.0
dollar_bill,0.875
dolphin,1.0
dragonfly,1.0
electric_guitar,0.7272727272727273
elephant,1.0
emu,0.875
euphonium,0.8888888888888888
ewer,1.0
ferry,1.0
flamingo,1.0
flamingo_head,0.8571428571428571
garfield,1.0
gerenuk,1.0
gramophone,1.0
grand_piano,0.9333333333333333
hawksbill,1.0
headphone,1.0
hedgehog,1.0
helicopter,0.9230769230769231
ibis,1.0
inline_skate,0.8
joshua_tree,1.0
kangaroo,0.9230769230769231
ketch,0.7647058823529411
lamp,0.8888888888888888
laptop,1.0
llama,0.8333333333333334
lobster,0.5
lotus,0.6
mandolin,1.0
mayfly,1.0
menorah,0.8461538461538461
metronome,1.0
minaret,1.0
nautilus,1.0
octopus,0.8
okapi,1.0
pagoda,0.8571428571428571
panda,1.0
pigeon,0.8333333333333334
pizza,1.0
platypus,0.8
pyramid,0.8888888888888888
revolver,1.0
rhino,1.0
rooster,1.0
saxophone,0.8333333333333334
schooner,1.0
scissors,0.8333333333333334
scorpion,0.9230769230769231
sea_horse,0.7777777777777778
snoopy,0.6
soccer_ball,0.7777777777777778
stapler,0.7142857142857143
starfish,1.0
stegosaurus,1.0
stop_sign,0.8888888888888888
strawberry,1.0
sunflower,1.0
tick,1.0
trilobite,0.9230769230769231
umbrella,0.8181818181818182
watch,1.0
water_lilly,0.3333333333333333
wheelchair,0.8888888888888888
wild_cat,1.0
windsor_chair,0.875
wrench,0.6666666666666666
yin_yang,1.0
