class,accuracy
BACKGROUND_Google,0.8
Faces,1.0
Faces_easy,0.7121212121212122
Leopards,0.9666666666666667
Motorbikes,1.0
accordion,1.0
airplanes,0.9916666666666667
anchor,0.5
ant,0.8333333333333334
barrel,0.7142857142857143
bass,0.5
beaver,0.7142857142857143
binocular,0.6
bonsai,1.0
brain,1.0
brontosaurus,0.7142857142857143
buddha,0.6923076923076923
butterfly,0.6923076923076923
camera,1.0
cannon,0.42857142857142855
car_side,1.0
ceiling_fan,0.7142857142857143
cellphone,0.8888888888888888
chair,0.3333333333333333
chandelier,0.875
cougar_body,0.7142857142857143
cougar_face,0.9090909090909091
crab,0.45454545454545453
crayfish,0.6363636363636364
crocodile,0.42857142857142855
crocodile_head,0.5714285714285714
cup,0.75
dalmatian,1.0
dollar_bill,1.0
dolphin,1.0
dragonfly,1.0
electric_guitar,0.7272727272727273
elephant,0.8888888888888888
emu,1.0
euphonium,0.7777777777777778
ewer,1.0
ferry,1.0
flamingo,0.8
flamingo_head,0.5714285714285714
garfield,1.0
gerenuk,1.0
gramophone,1.0
grand_piano,0.9333333333333333
hawksbill,0.8
headphone,1.0
hedgehog,1.0
helicopter,0.6923076923076923
ibis,1.0
inline_skate,0.8
joshua_tree,0.9
kangaroo,0.9230769230769231
ketch,0.7058823529411765
lamp,0.8888888888888888
laptop,1.0
llama,1.0
lobster,0.16666666666666666
lotus,0.5
mandolin,0.8333333333333334
mayfly,0.5
menorah,1.0
metronome,0.8
minaret,0.9090909090909091
nautilus,1.0
octopus,0.6
okapi,0.6666666666666666
pagoda,1.0
panda,1.0
pigeon,1.0
pizza,1.0
platypus,0.6
pyramid,1.0
revolver,0.9230769230769231
rhino,1.0
rooster,0.75
saxophone,0.6666666666666666
schooner,1.0
scissors,0.8333333333333334
scorpion,0.6923076923076923
sea_horse,0.7777777777777778
snoopy,0.6
soccer_ball,1.0
stapler,0.5714285714285714
starfish,0.8461538461538461
stegosaurus,1.0
stop_sign,1.0
strawberry,1.0
sunflower,0.9230769230769231
tick,1.0
trilobite,0.9230769230769231
umbrella,0.7272727272727273
watch,0.9444444444444444
water_lilly,0.3333333333333333
wheelchair,0.7777777777777778
wild_cat,0.8
windsor_chair,0.875
wrench,0.6666666666666666
yin_yang,0.8888888888888888
