class,accuracy
BACKGROUND_Google,0.7714285714285715
Faces,0.9848484848484849
Faces_easy,0.6666666666666666
Leopards,1.0
Motorbikes,0.9833333333333333
accordion,1.0
airplanes,0.975
anchor,0.3333333333333333
ant,0.5
barrel,0.7142857142857143
bass,0.625
beaver,0.42857142857142855
binocular,0.2
bonsai,0.9473684210526315
brain,0.9333333333333333
brontosaurus,0.42857142857142855
buddha,0.6923076923076923
butterfly,0.8461538461538461
camera,1.0
cannon,0.2857142857142857
car_side,1.0
ceiling_fan,0.7142857142857143
cellphone,1.0
chair,0.4444444444444444
chandelier,0.75
cougar_body,0.14285714285714285
cougar_face,0.8181818181818182
crab,0.5454545454545454
crayfish,0.36363636363636365
crocodile,0.42857142857142855
crocodile_head,0.2857142857142857
cup,0.75
dalmatian,0.9
dollar_bill,0.875
dolphin,0.5
dragonfly,1.0
electric_guitar,0.2727272727272727
elephant,0.6666666666666666
emu,0.375
euphonium,0.7777777777777778
ewer,0.9230769230769231
ferry,0.7
flamingo,0.8
flamingo_head,0.2857142857142857
garfield,1.0
gerenuk,1.0
gramophone,0.7142857142857143
grand_piano,0.8
hawksbill,0.8666666666666667
headphone,1.0
hedgehog,1.0
helicopter,0.5384615384615384
ibis,1.0
inline_skate,0.8
joshua_tree,1.0
kangaroo,0.7692307692307693
ketch,0.7058823529411765
lamp,0.2222222222222222
laptop,1.0
llama,0.9166666666666666
lobster,0.16666666666666666
lotus,0.5
mandolin,1.0
mayfly,0.6666666666666666
menorah,1.0
metronome,0.4
minaret,1.0
nautilus,0.875
octopus,0.4
okapi,0.8333333333333334
pagoda,0.5714285714285714
panda,0.8333333333333334
pigeon,0.8333333333333334
pizza,1.0
platypus,0.6
pyramid,1.0
revolver,0.9230769230769231
rhino,0.8888888888888888
rooster,0.5
saxophone,0.5
schooner,0.7777777777777778
scissors,0.5
scorpion,0.6153846153846154
sea_horse,0.6666666666666666
snoopy,0.8
soccer_ball,0.8888888888888888
stapler,0.5714285714285714
starfish,0.9230769230769231
stegosaurus,0.8888888888888888
stop_sign,1.0
strawberry,0.8
sunflower,0.9230769230769231
tick,1.0
trilobite,0.7692307692307693
umbrella,0.8181818181818182
watch,0.9722222222222222
water_lilly,0.0
wheelchair,0.7777777777777778
wild_cat,0.8
windsor_chair,0.875
wrench,0.6666666666666666
yin_yang,0.8888888888888888
