class,accuracy
BACKGROUND_Google,0.6571428571428571
Faces,1.0
Faces_easy,1.0
Leopards,1.0
Motorbikes,0.9916666666666667
accordion,1.0
airplanes,1.0
anchor,0.0
ant,0.0
barrel,0.0
bass,0.0
beaver,0.0
binocular,0.2
bonsai,0.42105263157894735
brain,0.2
brontosaurus,0.2857142857142857
buddha,0.0
butterfly,0.0
camera,0.0
cannon,0.0
car_side,1.0
ceiling_fan,0.0
cellphone,0.8888888888888888
chair,0.0
chandelier,0.0
cougar_body,0.0
cougar_face,0.0
crab,0.0
crayfish,0.09090909090909091
crocodile,0.0
crocodile_head,0.0
cup,0.0
dalmatian,0.0
dollar_bill,0.375
dolphin,0.1
dragonfly,0.3
electric_guitar,0.0
elephant,0.0
emu,0.125
euphonium,0.4444444444444444
ewer,0.0
ferry,0.1
flamingo,0.0
flamingo_head,0.0
garfield,0.2
gerenuk,0.2
gramophone,0.0
grand_piano,0.4
hawksbill,0.6
headphone,0.0
hedgehog,0.125
helicopter,0.07692307692307693
ibis,0.08333333333333333
inline_skate,0.0
joshua_tree,0.0
kangaroo,0.15384615384615385
ketch,0.5294117647058824
lamp,0.0
laptop,0.16666666666666666
llama,0.08333333333333333
lobster,0.0
lotus,0.0
mandolin,0.0
mayfly,0.0
menorah,0.3076923076923077
metronome,0.0
minaret,0.9090909090909091
nautilus,0.0
octopus,0.4
okapi,0.0
pagoda,0.42857142857142855
panda,0.0
pigeon,0.16666666666666666
pizza,0.25
platypus,0.0
pyramid,0.0
revolver,0.5384615384615384
rhino,0.0
rooster,0.0
saxophone,0.16666666666666666
schooner,0.0
scissors,0.0
scorpion,0.0
sea_horse,0.0
snoopy,0.2
soccer_ball,0.2222222222222222
stapler,0.2857142857142857
starfish,0.07692307692307693
stegosaurus,0.1111111111111111
stop_sign,0.1111111111111111
strawberry,0.2
sunflower,0.23076923076923078
tick,0.0
trilobite,1.0
umbrella,0.2727272727272727
watch,0.8333333333333334
water_lilly,0.0
wheelchair,0.0
wild_cat,0.0
windsor_chair,0.0
wrench,0.3333333333333333
yin_yang,0.5555555555555556
