class,accuracy
BACKGROUND_Google,0.6142857142857143
Faces,1.0
Faces_easy,0.2727272727272727
Leopards,1.0
Motorbikes,1.0
accordion,1.0
airplanes,1.0
anchor,0.3333333333333333
ant,0.8333333333333334
barrel,0.8571428571428571
bass,1.0
beaver,1.0
binocular,1.0
bonsai,1.0
brain,0.9333333333333333
brontosaurus,0.5714285714285714
buddha,0.8461538461538461
butterfly,0.6153846153846154
camera,0.8571428571428571
cannon,0.7142857142857143
car_side,1.0
ceiling_fan,1.0
cellphone,0.8888888888888888
chair,0.7777777777777778
chandelier,0.9375
cougar_body,0.7142857142857143
cougar_face,0.9090909090909091
crab,0.8181818181818182
crayfish,0.7272727272727273
crocodile,0.5714285714285714
crocodile_head,1.0
cup,1.0
dalmatian,1.0
dollar_bill,0.625
dolphin,1.0
dragonfly,0.8
electric_guitar,0.8181818181818182
elephant,1.0
emu,1.0
euphonium,1.0
ewer,1.0
ferry,1.0
flamingo,1.0
flamingo_head,0.5714285714285714
garfield,0.8
gerenuk,1.0
gramophone,1.0
grand_piano,1.0
hawksbill,1.0
headphone,1.0
hedgehog,1.0
helicopter,0.9230769230769231
ibis,1.0
inline_skate,0.8
joshua_tree,0.9
kangaroo,1.0
ketch,0.6470588235294118
lamp,1.0
laptop,1.0
llama,1.0
lobster,0.8333333333333334
lotus,0.5
mandolin,0.8333333333333334
mayfly,1.0
menorah,1.0
metronome,0.4
minaret,1.0
nautilus,1.0
octopus,1.0
okapi,1.0
pagoda,0.8571428571428571
panda,1.0
pigeon,1.0
pizza,1.0
platypus,0.8
pyramid,0.8888888888888888
revolver,1.0
rhino,1.0
rooster,0.875
saxophone,1.0
schooner,1.0
scissors,1.0
scorpion,1.0
sea_horse,0.5555555555555556
snoopy,0.6
soccer_ball,0.8888888888888888
stapler,0.7142857142857143
starfish,1.0
stegosaurus,1.0
stop_sign,1.0
strawberry,1.0
sunflower,1.0
tick,1.0
trilobite,1.0
umbrella,0.8181818181818182
watch,1.0
water_lilly,0.3333333333333333
wheelchair,1.0
wild_cat,1.0
windsor_chair,1.0
wrench,0.8333333333333334
yin_yang,1.0
